ธนาคารแห่งประเทศไทย
FM_RT_001_S2 : อัตราดอกเบี้ยในตลาดเงิน (ม.ค.2548-ก.ค.2568)
(อัตราร้อยละต่อปี)
ปรับปรุงล่าสุด : 08 ส.ค. 2568 10:00
วันที่เรียกข้อมูล : 11 พ.ย. 2568 00:59
,,ก.ค. 2568 p,มิ.ย. 2568 ,พ.ค. 2568 ,เม.ย. 2568 ,มี.ค. 2568 ,ก.พ. 2568 
66,      >6-10 ปี : ต่ำสุด,20.00,19.38,20.00,19.58,19.58,19.17
67,      >6-10 ปี : สูงสุด,31.00,27.60,30.25,29.79,29.48,27.08
68,      >10-14 ปี : ต่ำสุด,28.75,29.17,30.10,29.69,30.10,28.19
69,      >10-14 ปี : สูงสุด,44.25,36.06,41.29,40.85,38.56,36.02
70,      >14 ปี : ต่ำสุด,37.00,37.81,37.90,37.17,37.71,36.13
71,      >14 ปี : สูงสุด,46.40,43.29,45.69,45.98,45.17,43.42
72,อัตราดอกเบี้ยของสถาบันการเงิน : 8/,,,,,,
73,   ธนาคารพาณิชย์ 9/,,,,,,
74,      อัตราดอกเบี้ยเงินกู้ ,,,,,,
75,         อัตราดอกเบี้ยเงินกู้สูงสุด : ต่ำสุด,17.30,17.30,17.45,17.45,17.45,17.45
76,         อัตราดอกเบี้ยเงินกู้สูงสุด : สูงสุด,28.00,28.00,28.00,28.00,28.00,28.00
77,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : ต่ำสุด,6.87,6.87,7.02,7.02,7.02,7.27
78,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : สูงสุด,7.00,7.00,7.10,7.10,7.10,7.35
79,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : ต่ำสุด,6.75,6.75,6.83,6.83,6.83,6.90
80,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : สูงสุด,7.00,7.00,7.06,7.06,7.06,7.16
81,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ถัวเฉลี่ยถ่วงน้ำหนัก (ทุกสัญญา),n.a.,4.10,4.11,4.22,4.23,4.32
82,             วงเงินน้อยกว่าหรือเท่ากับ  100 ลบ.,n.a.,4.70,4.70,4.81,4.87,4.99
83,             วงเงินมากกว่า 100 ลบ. -ต่ำกว่า 500 ลบ.,n.a.,4.20,4.23,4.34,4.36,4.47
84,             วงเงินตั้งแต่ 500 ลบ. ขึ้นไป,n.a.,3.77,3.79,3.88,3.87,3.94
85,         อัตราดอกเบี้ยสินเชื่อปล่อยใหม่ของภาคธุรกิจถัวเฉลี่ยถ่วงน้ำหนัก 10/,n.a.,4.24,4.08,4.38,3.90,3.93
86,             วงเงินน้อยกว่าหรือเท่ากับ  100 ลบ.,n.a.,4.73,4.69,4.75,4.69,4.79
87,             วงเงินมากกว่า 100 ลบ. -ต่ำกว่า 500 ลบ.,n.a.,4.06,3.94,4.05,3.99,4.12
88,             วงเงินตั้งแต่ 500 ลบ. ขึ้นไป,n.a.,4.13,3.94,4.37,3.58,3.55
89,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายย่อยชั้นดี : ต่ำสุด,6.90,6.90,6.95,6.95,6.95,7.00
90,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายย่อยชั้นดี : สูงสุด,7.30,7.30,7.35,7.35,7.35,7.45
91,      อัตราดอกเบี้ยเงินฝาก ,,,,,,
92,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : ต่ำสุด,0.25,0.25,0.25,0.25,0.25,0.25
93,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : สูงสุด,0.25,0.25,0.30,0.30,0.30,0.30
94,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : ต่ำสุด,0.80,0.80,0.85,0.85,0.95,0.95
95,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : สูงสุด,0.85,0.85,1.00,1.00,1.00,1.00
96,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : ต่ำสุด,0.85,0.85,0.95,0.95,1.05,1.05
97,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : สูงสุด,0.90,0.90,1.10,1.10,1.10,1.10
98,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : ต่ำสุด,1.15,1.15,1.25,1.25,1.45,1.45
99,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : สูงสุด,1.30,1.30,1.50,1.50,1.50,1.50
100,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : ต่ำสุด,1.50,1.50,1.70,1.70,1.70,1.70
101,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : สูงสุด,1.50,1.55,1.70,1.70,1.90,1.90
102,         อัตราดอกเบี้ยเงินฝากประจำมากกว่า 2 ปี : ต่ำสุด,1.50,1.50,1.75,1.75,1.75,1.75
103,         อัตราดอกเบี้ยเงินฝากประจำมากกว่า 2 ปี : สูงสุด,1.55,1.55,1.75,1.75,1.95,1.95
104,         อัตราดอกเบี้ยเงินฝากประจำถัวเฉลี่ยถ่วงน้ำหนัก,n.a.,1.16,1.19,1.33,1.40,1.43
105,   บริษัทเงินทุน,,,,,,
106,      อัตราดอกเบี้ยเงินกู้ยืม ,,,,,,
107,         เมื่อทวงถาม : ต่ำสุด,0.50,0.50,0.50,0.50,0.50,0.50
108,         เมื่อทวงถาม : สูงสุด,0.50,0.50,0.50,0.50,0.50,0.50
109,         1 เดือน : ต่ำสุด,1.20,1.20,1.20,1.45,1.45,1.45
110,         1 เดือน : สุงสุด,1.20,1.20,1.20,1.45,1.45,1.45
111,         3 เดือน : ต่ำสุด,1.50,1.50,1.50,1.75,1.75,1.75
112,         3 เดือน : สุงสุด,1.50,1.50,1.50,1.75,1.75,1.75
113,         6 เดือน : ต่ำสุด,1.60,1.60,1.60,1.85,1.85,1.85
114,         6 เดือน : สุงสุด,1.60,1.60,1.60,1.85,1.85,1.85
115,         12 เดือน : ต่ำสุด,1.80,1.80,1.80,2.00,2.00,2.00
116,         12 เดือน : สุงสุด,1.80,1.80,1.80,2.00,2.00,2.00
117,      อัตราดอกเบี้ยเงินให้กู้ยืม ,,,,,,
118,         ลูกค้าชั้นดี : ต่ำสุด,9.50,9.50,9.50,9.50,9.50,9.50
119,         ลูกค้าชั้นดี : สูงสุด,9.50,9.50,9.50,9.50,9.50,9.50
120,         ลูกค้าชั้นดี : เฉลี่ย,9.50,9.50,9.50,9.50,9.50,9.50
121,         อัตราสูงสุดของลูกค้าทั่วไป,21.00,21.00,21.00,21.00,21.00,21.00
122,   ธนาคารออมสิน,,,,,,
123,      อัตราดอกเบี้ยเงินกู้ ,,,,,,
124,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : ต่ำสุด,6.35,6.35,6.35,6.50,6.50,6.75
125,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : สูงสุด,6.35,6.35,6.35,6.50,6.50,6.75
126,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : ต่ำสุด,6.58,6.58,6.58,6.65,6.65,6.90
127,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : สูงสุด,6.58,6.58,6.58,6.65,6.65,6.90
128,      อัตราดอกเบี้ยเงินฝาก ,,,,,,
129,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : ต่ำสุด,0.25,0.25,0.25,0.25,0.25,0.30
130,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : สูงสุด,0.25,0.25,0.25,0.25,0.25,0.30
131,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : ต่ำสุด,0.85,0.85,0.95,1.00,1.00,1.00
132,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : สูงสุด,0.85,0.85,0.95,1.00,1.00,1.00
133,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : ต่ำสุด,0.90,0.90,1.00,1.10,1.10,1.10
134,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : สูงสุด,0.90,0.90,1.00,1.10,1.10,1.10
135,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : ต่ำสุด,1.30,1.30,1.40,1.50,1.50,1.50
136,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : สูงสุด,1.30,1.30,1.40,1.50,1.50,1.50
137,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : ต่ำสุด,1.55,1.55,1.65,1.70,1.90,1.90
138,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : สูงสุด,1.55,1.55,1.65,1.70,1.90,1.90
139,   ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,,,,,,
140,      อัตราดอกเบี้ยเงินกู้,,,,,,
141,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : ต่ำสุด,6.13,6.13,6.13,6.13,6.13,6.13
142,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : สูงสุด,6.13,6.13,6.13,6.13,6.13,6.13
143,      อัตราดอกเบี้ยเงินฝาก ,,,,,,
144,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : ต่ำสุด,0.25,0.25,0.25,0.25,0.25,0.30
145,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : สูงสุด,0.25,0.25,0.25,0.25,0.25,0.30
146,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : ต่ำสุด,1.05,1.05,1.05,1.05,1.05,1.15
147,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : สูงสุด,1.05,1.05,1.05,1.05,1.05,1.15
148,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : ต่ำสุด,1.10,1.10,1.10,1.10,1.10,1.20
149,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : สูงสุด,1.10,1.10,1.10,1.10,1.10,1.20
150,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : ต่ำสุด,1.70,1.70,1.70,1.70,1.70,1.70
151,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : สูงสุด,1.70,1.70,1.70,1.70,1.70,1.70
152,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : ต่ำสุด,1.80,1.80,1.80,1.80,1.80,1.95
153,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : สูงสุด,1.80,1.80,1.80,1.80,1.80,1.95
154,   ธนาคารอาคารสงเคราะห์,,,,,,
155,      อัตราดอกเบี้ยเงินกู้ ,,,,,,
156,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : ต่ำสุด,6.00,6.00,6.00,6.15,6.15,6.40
157,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : สูงสุด,6.00,6.00,6.00,6.15,6.15,6.40
158,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : ต่ำสุด,6.10,6.10,6.10,6.15,6.15,6.25
159,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : สูงสุด,6.10,6.10,6.10,6.15,6.15,6.25
160,      อัตราดอกเบี้ยเงินฝาก ,,,,,,
161,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : ต่ำสุด,0.35,0.35,0.35,0.35,0.35,0.35
162,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : สูงสุด,0.35,0.35,0.35,0.35,0.35,0.35
163,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : ต่ำสุด,0.85,0.85,0.90,1.00,1.00,1.00
164,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : สูงสุด,0.85,0.85,0.90,1.00,1.00,1.00
165,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : ต่ำสุด,0.90,0.90,1.00,1.10,1.10,1.10
166,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : สูงสุด,0.90,0.90,1.00,1.10,1.10,1.10
167,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : ต่ำสุด,1.30,1.30,1.35,1.50,1.50,1.50
168,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : สูงสุด,1.30,1.30,1.35,1.50,1.50,1.50
169,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : ต่ำสุด,1.55,1.55,1.70,1.85,1.85,1.85
170,         อัตราดอกเบี้ยเงินฝากประจำ 2 ปี : สูงสุด,1.55,1.55,1.70,1.85,1.85,1.85
171,   ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย,,,,,,
172,      อัตราดอกเบี้ยเงินกู้ :,,,,,,
173,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : ต่ำสุด,18.00,18.00,18.00,18.00,18.00,18.00
174,         อัตราดอกเบี้ยเงินเบิกเกินบัญชี : สูงสุด,18.00,18.00,18.00,18.00,18.00,18.00
175,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : ต่ำสุด,6.15,6.15,6.15,6.25,6.25,6.35
176,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : สูงสุด,6.15,6.15,6.15,6.25,6.25,6.35
177,      อัตราดอกเบี้ยเงินฝาก :,,,,,,
178,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : ต่ำสุด,0.25,0.25,0.25,0.25,0.25,0.25
179,         อัตราดอกเบี้ยเงินฝากออมทรัพย์ : สูงสุด,0.25,0.25,0.25,0.25,0.25,0.25
180,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : ต่ำสุด,0.50,0.50,0.50,0.50,0.50,0.50
181,         อัตราดอกเบี้ยเงินฝากประจำ 3 เดือน : สูงสุด,0.50,0.50,0.50,0.50,0.50,0.50
182,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : ต่ำสุด,0.50,0.50,0.50,0.50,0.50,0.50
183,         อัตราดอกเบี้ยเงินฝากประจำ 6 เดือน : สูงสุด,0.50,0.50,0.50,0.50,0.50,0.50
184,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : ต่ำสุด,0.50,0.50,0.50,0.50,0.50,0.50
185,         อัตราดอกเบี้ยเงินฝากประจำ 12 เดือน : สูงสุด,0.50,0.50,0.50,0.50,0.50,0.50
186,   ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,,,,,,
187,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : ต่ำสุด,7.25,7.25,7.25,7.30,7.30,7.40
188,         อัตราดอกเบี้ยเงินกู้ลูกค้ารายใหญ่ชั้นดี : สูงสุด,7.25,7.25,7.25,7.30,7.30,7.40
