YEAR,QUARTER,REGION,SEX,AGE_GROUP,VALUE,UNIT,SOURCE
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"35 - 39 ปี",.97,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"40 - 49 ปี",.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"50 - 59 ปี",.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,รวม,"60 ปีขึ้นไป",.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,ยอดรวม,1.49,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"15 - 19 ปี",5.95,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"20 - 24 ปี",5.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"25 - 29 ปี",3.05,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"30 - 34 ปี",1.83,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"35 - 39 ปี",.87,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"40 - 49 ปี",.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"50 - 59 ปี",.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,ชาย,"60 ปีขึ้นไป",.16,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,ยอดรวม,1.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"15 - 19 ปี",6.99,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"20 - 24 ปี",8.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"25 - 29 ปี",3.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"30 - 34 ปี",1.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"35 - 39 ปี",1.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"40 - 49 ปี",.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"50 - 59 ปี",.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ทั่วประเทศ,หญิง,"60 ปีขึ้นไป",.08,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,ยอดรวม,1.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"15 - 19 ปี",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"20 - 24 ปี",9.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"25 - 29 ปี",2.88,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"30 - 34 ปี",1.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"35 - 39 ปี",1.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"40 - 49 ปี",1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"50 - 59 ปี",1.07,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,รวม,"60 ปีขึ้นไป",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,ยอดรวม,1.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"15 - 19 ปี",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"20 - 24 ปี",9.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"25 - 29 ปี",3.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"30 - 34 ปี",2.62,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"35 - 39 ปี",.81,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"40 - 49 ปี",1.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"50 - 59 ปี",.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,ชาย,"60 ปีขึ้นไป",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,ยอดรวม,1.85,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"15 - 19 ปี",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"20 - 24 ปี",10.03,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"25 - 29 ปี",2.29,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"30 - 34 ปี",.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"35 - 39 ปี",1.69,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"40 - 49 ปี",1.49,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"50 - 59 ปี",1.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",กรุงเทพมหานคร,หญิง,"60 ปีขึ้นไป",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,ยอดรวม,1.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"15 - 19 ปี",3.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"20 - 24 ปี",5.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"25 - 29 ปี",2.62,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"30 - 34 ปี",.97,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"35 - 39 ปี",.51,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"40 - 49 ปี",.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"50 - 59 ปี",.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,รวม,"60 ปีขึ้นไป",.16,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,ชาย,ยอดรวม,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,ชาย,"15 - 19 ปี",4.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"15 - 19 ปี",2.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"20 - 24 ปี",7.29,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"25 - 29 ปี",2.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"30 - 34 ปี",1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"35 - 39 ปี",.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"40 - 49 ปี",.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"50 - 59 ปี",.77,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,รวม,"60 ปีขึ้นไป",.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,ยอดรวม,1.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"15 - 19 ปี",2.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"20 - 24 ปี",3.87,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"25 - 29 ปี",2.82,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"30 - 34 ปี",.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"35 - 39 ปี",.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"40 - 49 ปี",.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"50 - 59 ปี",.98,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,ชาย,"60 ปีขึ้นไป",.23,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,ยอดรวม,1.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"15 - 19 ปี",3.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"20 - 24 ปี",11.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"25 - 29 ปี",2.31,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"30 - 34 ปี",1.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"35 - 39 ปี",.99,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"40 - 49 ปี",.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"50 - 59 ปี",.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคเหนือ,หญิง,"60 ปีขึ้นไป",.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,ยอดรวม,1.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"15 - 19 ปี",6.38,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"20 - 24 ปี",6.42,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"25 - 29 ปี",2.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"30 - 34 ปี",1.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"35 - 39 ปี",1.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"40 - 49 ปี",.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"50 - 59 ปี",.31,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,รวม,"60 ปีขึ้นไป",.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,ยอดรวม,1.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"15 - 19 ปี",5.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"20 - 24 ปี",5.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"25 - 29 ปี",2.38,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"30 - 34 ปี",1.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"35 - 39 ปี",1.17,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"40 - 49 ปี",.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"50 - 59 ปี",.36,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,ชาย,"60 ปีขึ้นไป",.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,ยอดรวม,1.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"15 - 19 ปี",8.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"20 - 24 ปี",8.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"25 - 29 ปี",2.98,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"30 - 34 ปี",1.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"35 - 39 ปี",1.37,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"40 - 49 ปี",.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"50 - 59 ปี",.25,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคตะวันออกเฉียงเหนือ,หญิง,"60 ปีขึ้นไป",.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,ยอดรวม,2.68,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"15 - 19 ปี",14.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"20 - 24 ปี",10.03,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"25 - 29 ปี",4.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"30 - 34 ปี",2.88,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"35 - 39 ปี",2.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"40 - 49 ปี",.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"50 - 59 ปี",.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,รวม,"60 ปีขึ้นไป",.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,ยอดรวม,2.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"15 - 19 ปี",12.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"20 - 24 ปี",6.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"25 - 29 ปี",4.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"30 - 34 ปี",2.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"35 - 39 ปี",2.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"40 - 49 ปี",.85,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"50 - 59 ปี",.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,ชาย,"60 ปีขึ้นไป",.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,ยอดรวม,2.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"15 - 19 ปี",19.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"20 - 24 ปี",15.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"25 - 29 ปี",4.21,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"30 - 34 ปี",2.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"35 - 39 ปี",2.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"40 - 49 ปี",.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,"ไตรมาส 4",ภาคใต้,หญิง,"50 - 59 ปี",.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคกลาง,ชาย,"20 - 24 ปี",3.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"15 - 19 ปี",9.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"20 - 24 ปี",6.16,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"25 - 29 ปี",4.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"30 - 34 ปี",3.03,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"35 - 39 ปี",1.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"40 - 49 ปี",.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"50 - 59 ปี",1.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,ชาย,"60 ปีขึ้นไป",.14,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,ยอดรวม,2.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"15 - 19 ปี",16.51,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"20 - 24 ปี",14.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"25 - 29 ปี",7.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"30 - 34 ปี",2.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"35 - 39 ปี",.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"40 - 49 ปี",.69,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"50 - 59 ปี",.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 1",ภาคใต้,หญิง,"60 ปีขึ้นไป",.04,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 2",ทั่วประเทศ,รวม,ยอดรวม,1.37,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 2",ทั่วประเทศ,รวม,"15 - 19 ปี",6.62,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 2",ทั่วประเทศ,รวม,"20 - 24 ปี",7.18,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 2",ทั่วประเทศ,รวม,"25 - 29 ปี",2.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 2",ทั่วประเทศ,รวม,"30 - 34 ปี",1.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,"ไตรมาส 2",ทั่วประเทศ,รวม,"35 - 39 ปี",.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
